,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,german,english,remind
107,107,107,107,107,107,107,werde,"(I) become (1st-person singular present; 1st- and 3rd-person singular subjunctive I; imperative singular of ""werden"")	verb; auxiliary verb; noun",0
108,108,108,108,108,108,108,sagen,to say; tell; languagedaily.com	verb,0
109,109,109,109,109,109,109,deine,"your (nominative/accusative feminine and plural of ""dein"")	possessive pronoun",0
110,110,110,110,110,110,110,denn,for; because; then; than (conjunction); then (adverb)	conjunction; adverb,0
111,111,111,111,111,111,111,danke,"thank you!; thanks!; inflection of the verb ""danken""	interjection; verb",0
112,112,112,112,112,112,112,andere,other; different; next	indefinite pronoun,0
113,113,113,113,113,113,113,über,above; over; across; beyond; about; on	preposition,0
114,114,114,114,114,114,114,komm,"come (1st-person singular present; imperative singular of ""kommen"")	verb",0
115,115,115,115,115,115,115,einer,a; an (feminine genitive and dative)	indefinite afticle,0
116,116,116,116,116,116,116,einfach,easy; simple; plain; single; one-way; simply; just	adjective; adverb,0
117,117,117,117,117,117,117,soll,"(I/he/she) should (1st- and 3rd-person singular present of ""sollen""); debit; target (capitalized as a noun - die Soll)	verb; noun",0
118,118,118,118,118,118,118,müssen,must; have to	verb; auxiliary verb,0
119,119,119,119,119,119,119,nie,never	adverb,0
120,120,120,120,120,120,120,gibt,"(he/she/it) gives; is giving (3rd-person singular present of ""geben""); es gibt = there is; there are	verb",0
121,121,121,121,121,121,121,hey,hi; hey	interjection,-1
122,122,122,122,122,122,122,des,"the (genitive singular masculine/neuter of ""der"" and ""das"")	definitive article",0
123,123,123,123,123,123,123,tut,"(he/she/it) does; is doing; (you all) do; are doing (3rd-person singular present; 2nd-person plural present; imperative plural of ""tun"")	verb",0
124,124,124,124,124,124,124,Leben,life; to live (verb; not capitalized)	noun; verb,0
125,125,125,125,125,125,125,willst,"(you) want to (2nd-person singular present of ""wollen"")	verb; auxiliary verb",0
126,126,126,126,126,126,126,viel,much; a lot	adjective; indefinite pronoun,0
127,127,127,127,127,127,127,los,loose; not attached; rid of	advective,0
128,128,128,128,128,128,128,Zeit,time; age; tense (grammar)	noun,0
129,129,129,129,129,129,129,Ihnen,you; to you (dative of Sie)	personal pronoun,0
130,130,130,130,130,130,130,am,on; at; on the; at the	preposition,0
131,131,131,131,131,131,131,würde,"(I/he/she/it) would become (1st- and 3rd-person singular subjunctive II of ""werden""); dignity; honor (capitalized as a noun - die Würde)	verb; noun",0
132,132,132,132,132,132,132,hatte,"to have (1st- and 3rd-person singular preterite of the verb ""haben"")	verb",-1
133,133,133,133,133,133,133,kannst,"(you) can (2nd-person singular present of ""können"")",0
134,134,134,134,134,134,134,wissen,to know; knowledge (capitalized as a noun - das Wissen)	verb; noun,0
135,135,135,135,135,135,135,zurück,back; backwards	adverb,0
136,136,136,136,136,136,136,heute,today; nowadays	adverb,0
137,137,137,137,137,137,137,damit,with it; thereby; so that; in order that	adverb; conjunction,0
138,138,138,138,138,138,138,gesagt,"said (past participle of ""sagen"")",0
139,139,139,139,139,139,139,Ihr,your (politely or formally addressing one person)	possessive pronoun,0
140,140,140,140,140,140,140,macht,"does; makes; make; do (3rd-and 2nd-person singular present; imperative plural of ""machen""); power; might; potency (capitalized as a noun - die Macht)	verb; noun",0
141,141,141,141,141,141,141,weißt,"(you/""du"") know (2nd-person singular present of ""wissen"")	verb",0
142,142,142,142,142,142,142,kein,no; not a; not an; languagedaily dot com	indefinite pronoun,0
143,143,143,143,143,143,143,wollen,to want; to wish; to desire (verb); to want to do smth (auxiliary verb); woolen (adjective)	verb; auxiliary verb; adjective,0
144,144,144,144,144,144,144,wurde,"(I/he/she/it) became (1st- and 3rd-person singular preterite of ""werden"")	verb",1
145,145,145,145,145,145,145,wollte,"(I/he/she/it) wanted to; would want to (1st- and 3rd-person singular preterite/subjunctive II of ""wollen"")	verb; auxiliary verb",0
146,146,146,146,146,146,146,Frau,woman; wife; Mrs/Ms	noun,0
147,147,147,147,147,147,147,wäre,"(I/he/she/it) would be (1st- and 3rd-person singular subjunctive II of ""sein"")	verb",0
148,148,148,148,148,148,148,Gott,God; god; deity	noun,0
149,149,149,149,149,149,149,Leute,people; folk	noun,0
150,150,150,150,150,150,150,meinen,mean,0
151,151,151,151,151,151,151,dieser,"this; these (masculine singular); (also; feminine dative/genitive and plural genitive form of ""diese"")	demonstrative pronoun",0
152,152,152,152,152,152,152,dein,your,0
153,153,153,153,153,153,153,kommt,coming,0
154,154,154,154,154,154,154,kommen,come,0
155,155,155,155,155,155,155,Na,N / A,-1
156,156,156,156,156,156,156,sicher,for sure,0
157,157,157,157,157,157,157,ganz,all,0
158,158,158,158,158,158,158,Jetzt,Now,0
159,159,159,159,159,159,159,könnte,"(I/he/she/it) could (1st- and 3-rd person singular subjunctive II of ""können"")	verb",0
160,160,160,160,160,160,160,Mr,mr,0
161,161,161,161,161,161,161,zur,to,0
162,162,162,162,162,162,162,Hast,Have,0
163,163,163,163,163,163,163,Gut,Well,0
164,164,164,164,164,164,164,hätte,"to have (1st- and 3rd-person singular subjunctive II of the verb ""haben"")	verb",0
165,165,165,165,165,165,165,weil,because,0
166,166,166,166,166,166,166,Hallo,Hello,0
167,167,167,167,167,167,167,Okay,OK,0
168,168,168,168,168,168,168,ab,from (+ Dative); as of (+Accusative/Dative) (preposition); off; away (adverb)	preposition; adverb,0
169,169,169,169,169,169,169,waren,"(we/they/Sie) were (1st- and 3rd-person plural preterite of ""sein"")	verb",0
170,170,170,170,170,170,170,bis,to,0
171,171,171,171,171,171,171,Vielleicht,Perhaps,0
172,172,172,172,172,172,172,Eine,A,0
173,173,173,173,173,173,173,weg,path,0
174,174,174,174,174,174,174,seine,his,0
175,175,175,175,175,175,175,lassen,to let,0
176,176,176,176,176,176,176,Vater,father,0
177,177,177,177,177,177,177,gesehen,seen,0
178,178,178,178,178,178,178,Nun,Now,0
179,179,179,179,179,179,179,gerade,just,0
180,180,180,180,180,180,180,glaube,faith,0
181,181,181,181,181,181,181,Tag,Day,0
182,182,182,182,182,182,182,Geld,money,0
183,183,183,183,183,183,183,gemacht,made,0
184,184,184,184,184,184,184,schön,beautiful; lovely; good; great; nice; fine (adjective); well; beautifully; nicely; really (adverb)	adjective; adverb,0
185,185,185,185,185,185,185,sagte,"(I/he/she/it) said; told (1st- and 3rd-person singular preterite; 1st- and 3rd-person singular subjunctive II of ""sagen"")	verb",1
186,186,186,186,186,186,186,Sir,Sir,0
187,187,187,187,187,187,187,sollte,should,0
188,188,188,188,188,188,188,wirst,"(you) become (2nd-person singular present of ""werden"")	verb",0
189,189,189,189,189,189,189,keinen,no,0
190,190,190,190,190,190,190,durch,by,0
191,191,191,191,191,191,191,zwei,two,0
192,192,192,192,192,192,192,diesen,this,0
193,193,193,193,193,193,193,passiert,happens,0
194,194,194,194,194,194,194,wohl,well,0
195,195,195,195,195,195,195,vielleicht,perhaps,0
196,196,196,196,196,196,196,ihre,hers; its; theirs	possessive pronoun,0
197,197,197,197,197,197,197,Mutter,mother,0
198,198,198,198,198,198,198,reden,talk,0
199,199,199,199,199,199,199,dachte,thought,0
200,200,200,200,200,200,200,möchte,would like to,0
201,201,201,201,201,201,201,lhr,LHR,0
202,202,202,202,202,202,202,gehört,belongs,0
203,203,203,203,203,203,203,musst,"(you) must; have to (2nd-person singular present of ""müssen"")	verb",0
204,204,204,204,204,204,204,sag,"(you) say; tell; (I) say (imperative singular; and colloquial 1st-person singular present of ""sagen"")",0
205,205,205,205,205,205,205,raus,Out,0
206,206,206,206,206,206,206,paar,pair,0
207,207,207,207,207,207,207,besser,better,0
208,208,208,208,208,208,208,ob,if,0
209,209,209,209,209,209,209,her,here,0
210,210,210,210,210,210,210,Ordnung,order,0
211,211,211,211,211,211,211,meiner,"genitive of ""ich""; genitive/dative feminine of ""mein""; genitive plural of ""mein""	personal pronoun; possessive pronoun",0
212,212,212,212,212,212,212,klar,clear,0
213,213,213,213,213,213,213,ihnen,them; to them (dative of sie)	personal pronoun,0
214,214,214,214,214,214,214,geben,to give; to put; to deal; there is/are	verb,0
215,215,215,215,215,215,215,geh,"go (imperative singular of ""gehen"")	verb",0
216,216,216,216,216,216,216,Los,lot; fate; lottery ticket	noun,0
217,217,217,217,217,217,217,diesem,this,0
218,218,218,218,218,218,218,meinem,my,0
219,219,219,219,219,219,219,lange,Long,0
220,220,220,220,220,220,220,sagt,"(he/she/it) says; (they) say; (it's) said (3rd-person singular present; 2nd-person plural present; imperative plural of ""sagen"")",0
221,221,221,221,221,221,221,Lass,let,0
222,222,222,222,222,222,222,dieses,this,0
223,223,223,223,223,223,223,helfen,help,0
224,224,224,224,224,224,224,unsere,"ours (possessive pronoun; femine or plural nominative/accuative form of ""unser"")	possessive pronoun",0
225,225,225,225,225,225,225,Weg,path,0
226,226,226,226,226,226,226,selbst,even,0
227,227,227,227,227,227,227,Nur,Just,0
228,228,228,228,228,228,228,finden,Find,0
229,229,229,229,229,229,229,jemand,someone,0
230,230,230,230,230,230,230,denke,think,0
231,231,231,231,231,231,231,ach,oh!	interjection,0
232,232,232,232,232,232,232,Nacht,night,0
233,233,233,233,233,233,233,genau,exactly,0
234,234,234,234,234,234,234,gar,at all,0
235,235,235,235,235,235,235,Welt,world,0
236,236,236,236,236,236,236,Mädchen,girl,0
237,237,237,237,237,237,237,ins,"to the; into the (contraction of ""in"" + ""das""; used with neuter nouns in the accusative case)	preposition",0
238,238,238,238,238,238,238,hin,down,0
239,239,239,239,239,239,239,vom,from,0
240,240,240,240,240,240,240,machst,"(you) are doing (2nd-person singular present of ""machen"")	verb",0
241,241,241,241,241,241,241,weiter,continue,-1
242,242,242,242,242,242,242,Leid,suffering,0
243,243,243,243,243,243,243,gleich,equal,0
244,244,244,244,244,244,244,ohne,without,0
245,245,245,245,245,245,245,Menschen,People,0
246,246,246,246,246,246,246,deinen,your,0
247,247,247,247,247,247,247,leid,suffering,0
248,248,248,248,248,248,248,anrufen,to call; phone	verb,0
249,249,249,249,249,249,249,Wieso,How so,0
250,250,250,250,250,250,250,arbeiten, 	verb,0
251,251,251,251,251,251,251,dort,there,0
252,252,252,252,252,252,252,Hause,home,0
253,253,253,253,253,253,253,sollten,should,0
254,254,254,254,254,254,254,davon,from that,0
255,255,255,255,255,255,255,zusammen,together,0
256,256,256,256,256,256,256,unser,"our (personal pronoun; genitive of ""wir""); our; ours (possessive pronoun; shows possession/affiliation to a group of people)	personal pronoun; possessive pronoun",0
257,257,257,257,257,257,257,Ok,OK,0
258,258,258,258,258,258,258,Hör,Listen,0
259,259,259,259,259,259,259,Freund,friend,0
260,260,260,260,260,260,260,richtig,right,0
261,261,261,261,261,261,261,Angst,fear; anxiety	noun,0
262,262,262,262,262,262,262,Bist,are,0
263,263,263,263,263,263,263,Mit,With,0
264,264,264,264,264,264,264,viele,lots,0
265,265,265,265,265,265,265,sieht,looks,0
266,266,266,266,266,266,266,Haus,House,0
267,267,267,267,267,267,267,tot,dead,-1
268,268,268,268,268,268,268,sollen,should,0
269,269,269,269,269,269,269,Arbeit,work; labor; job; employment	noun,0
270,270,270,270,270,270,270,ganze,whole,0
271,271,271,271,271,271,271,getan,"done (past participle of ""tun"")	verb",0
272,272,272,272,272,272,272,okay,OK,0
273,273,273,273,273,273,273,rein,purely,0
274,274,274,274,274,274,274,Moment,moment,1
275,275,275,275,275,275,275,bleiben,stay,0
276,276,276,276,276,276,276,brauchen,need,0
277,277,277,277,277,277,277,Weil,Because,0
278,278,278,278,278,278,278,Kinder,children,0
279,279,279,279,279,279,279,unter,under,0
280,280,280,280,280,280,280,Für,For,0
281,281,281,281,281,281,281,Problem,problem,0
282,282,282,282,282,282,282,dafür,for this,0
283,283,283,283,283,283,283,Herr,Sir,0
284,284,284,284,284,284,284,Haben,To have,0
285,285,285,285,285,285,285,wegen,because of,0
286,286,286,286,286,286,286,Jack,Jack,0
287,287,287,287,287,287,287,geht's,it's,0
288,288,288,288,288,288,288,liebe,love,0
289,289,289,289,289,289,289,genug,enough,0
290,290,290,290,290,290,290,dabei,there,0
291,291,291,291,291,291,291,bringen,bring,0
292,292,292,292,292,292,292,Ihre,yours (singular and plural)	possessive pronoun,0
293,293,293,293,293,293,293,'ne,'ne,0
294,294,294,294,294,294,294,gegen,against,0
295,295,295,295,295,295,295,schnell,fast,0
296,296,296,296,296,296,296,nun,now,0
297,297,297,297,297,297,297,eines,a; an (masculine and neuter genitive)	indefinite afticle,0
298,298,298,298,298,298,298,brauche,need,0
299,299,299,299,299,299,299,Abend,evening; eve; night	noun,0
300,300,300,300,300,300,300,hatten,had,0
301,301,301,301,301,301,301,Jahre,years,0
302,302,302,302,302,302,302,Mach,Mach,0
303,303,303,303,303,303,303,Bruder,Brothers,0
304,304,304,304,304,304,304,Sache,Thing,0
305,305,305,305,305,305,305,hören,hear,0
306,306,306,306,306,306,306,Sohn,son,0
307,307,307,307,307,307,307,seit,since,0
308,308,308,308,308,308,308,Morgen,morning,0
309,309,309,309,309,309,309,drei,three,0
310,310,310,310,310,310,310,steht,stands,0
311,311,311,311,311,311,311,Scheiße,crap,0
312,312,312,312,312,312,312,mag,like,0
313,313,313,313,313,313,313,sei,"(you) be; (I) am [said to be]; (he/she/it) is [said to be] (1st- and 3rd-person singular subjunctive I; and imperative singular of ""sein"")",0
314,314,314,314,314,314,314,gib,"give (imperative singular of ""geben"")	verb",0
315,315,315,315,315,315,315,konnte,"(I/he/she/it) could (1st- and 3rd-person singular preterite of ""können"")",-1
316,316,316,316,316,316,316,habt,"to have (imperative plural; and 2nd-person plural present of ""haben"")",0
317,317,317,317,317,317,317,einmal,once,0
318,318,318,318,318,318,318,heißt,called,0
319,319,319,319,319,319,319,OK,OK,0
320,320,320,320,320,320,320,Kopf,head,0
321,321,321,321,321,321,321,Hilfe,Help,0
322,322,322,322,322,322,322,Familie,family,0
323,323,323,323,323,323,323,Baby,infant,0
324,324,324,324,324,324,324,Dich,You,0
325,325,325,325,325,325,325,Sind,are,0
326,326,326,326,326,326,326,erst,first,0
327,327,327,327,327,327,327,fertig,finished,0
328,328,328,328,328,328,328,gefunden,found,-1
329,329,329,329,329,329,329,seid,"(we/they/you all) are; (you) be (2nd-person plural present and imperative plural of ""sein"")",0
330,330,330,330,330,330,330,kam,came,0
331,331,331,331,331,331,331,nehmen,to take,0
332,332,332,332,332,332,332,Alte,old man; old woman; old lady	noun,0
333,333,333,333,333,333,333,morgen,morning,0
334,334,334,334,334,334,334,sprechen,speak,0
335,335,335,335,335,335,335,sofort,immediately,0
336,336,336,336,336,336,336,allein,alone; by oneself; on one's own (adjective); alone (adverb); but; however (conjunction)	adjective; adverb; conjunction,0
337,337,337,337,337,337,337,Hat,Has,-1
338,338,338,338,338,338,338,Jahren,years,0
339,339,339,339,339,339,339,Kind,child,0
340,340,340,340,340,340,340,seinen,his,0
341,341,341,341,341,341,341,Genau,Exactly,0
342,342,342,342,342,342,342,daran,it,0
343,343,343,343,343,343,343,Junge,Boy,0
344,344,344,344,344,344,344,Minuten,minutes,0
345,345,345,345,345,345,345,bevor,before,0
346,346,346,346,346,346,346,Stadt,city,0
347,347,347,347,347,347,347,beim,at the,-1
348,348,348,348,348,348,348,sterben,to die,0
349,349,349,349,349,349,349,warst,"(you) were (2nd-person singular preterite of ""sein"")",0
350,350,350,350,350,350,350,Recht,Law,0
351,351,351,351,351,351,351,glauben,believe,0
352,352,352,352,352,352,352,Warte,Wait,0
353,353,353,353,353,353,353,darüber,about that,0
354,354,354,354,354,354,354,deiner,yours,0
355,355,355,355,355,355,355,lhre,Their,0
356,356,356,356,356,356,356,deinem,your,0
357,357,357,357,357,357,357,Ende,The End,0
358,358,358,358,358,358,358,He,He,0
359,359,359,359,359,359,359,Dinge,things,0
360,360,360,360,360,360,360,Namen,names,0
361,361,361,361,361,361,361,wahr,true,0
362,362,362,362,362,362,362,Natürlich,Naturally,0
363,363,363,363,363,363,363,töten,kill,0
364,364,364,364,364,364,364,Nichts,nobody; nothingness; void; zero	noun,0
365,365,365,365,365,365,365,bekommen,to get,0
366,366,366,366,366,366,366,Männer,"men; males; husbands (nominative/genitive/accusative plural form of ""Mann"")	noun",0
367,367,367,367,367,367,367,vergessen,to forget,0
368,368,368,368,368,368,368,dazu,to,0
369,369,369,369,369,369,369,gab,"gave (1st- and 3rd-person singular preterite of ""geben"")	verb",0
